TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
15-10-2019,26,35.4,29.9,67,0,8.9,5,150,2,SE
16-10-2019,26,34.8,29.6,68,0,8.9,5,130,3,SE
17-10-2019,26,34.9,29.8,66,0,9,8,140,3,SE
18-10-2019,26,36.6,29.9,65,0,9,5,120,2,SE
19-10-2019,26,36.5,30.3,67,0,9.1,6,110,2,SE
20-10-2019,27,36.1,30.4,67,0,9.1,8,140,3,SE
21-10-2019,26,36.7,30.5,65,0,8.7,6,130,3,SE
22-10-2019,26,36.2,30.4,65,0,9.4,6,150,3,SE
23-10-2019,25,36.8,30.6,68,0,9.2,6,170,2,SE
24-10-2019,27,35.8,30.7,62,0,9.3,8,140,4,SE
25-10-2019,26,35.2,30.4,64,0,8.7,6,160,3,SE
26-10-2019,26,35.9,30.7,64,0,9.3,4,130,2,SE
27-10-2019,27,35,30.4,66,0,9.2,5,120,2,SE
28-10-2019,26,36.4,30.6,66,0,8.8,7,120,2,SE
29-10-2019,26,36.4,30.4,66,0,9.2,6,50,2,SE
30-10-2019,26,36.4,30.6,64,0,9.2,5,80,2,SE
31-10-2019,27,37.4,31,66,-,9.2,4,70,2,C 
1/11/2019,27,33.6,30,72,0,8.3,4,30,2,W 
2/11/2019,26,32.6,28.5,80,0,4,4,140,2,NW
3/11/2019,26,35.7,30,72,8888,2.5,4,60,2,S 
4/11/2019,27,36.2,31.5,65,0,4.9,5,60,2,E 
5/11/2019,26,35.6,30.5,68,0,8.8,6,130,2,E 
6/11/2019,25,37.1,30.6,65,0,9.6,4,280,1,C 
7/11/2019,26,37.2,30,70,0,9.5,6,60,2,E 
8/11/2019,26,37,31.2,64,5,9.8,4,100,2,E 
9/11/2019,27,35.8,31.5,65,0,9.6,6,140,2,E 
10/11/2019,27,36,31.4,64,0,9.2,4,150,2,SE
11/11/2019,27,37.4,31.6,68,0,9.6,6,130,2,SE
12/11/2019,27,36.4,30.5,69,0,9.5,6,140,2,SE
13-11-2019,28,32.4,29.3,79,0,6.4,5,130,2,SE
14-11-2019,27,35.3,30.7,74,0.5,2,4,120,2,NW
15-11-2019,26,37.2,31.2,63,0,6.4,9,110,2,C 
16-11-2019,26,36.4,31,63,0,9.6,7,130,3,S 
17-11-2019,27,36.8,31.6,63,0,9.5,5,140,3,S 
18-11-2019,27,36.8,31.7,64,0,9.4,7,150,2,SE
19-11-2019,27,37.3,30.8,68,0,9.4,3,60,1,E 
20-11-2019,28,36.8,31.4,64,0,6.2,5,80,2,E 
21-11-2019,27,35.5,30.8,67,0,8,5,100,2,SE
22-11-2019,27,36.5,31.1,65,0,8.7,5,120,2,E 
23-11-2019,27,37,31.7,63,0,9.6,6,210,2,E 
24-11-2019,27,37,31.5,66,0,9.7,6,130,2,E 
